method,total_time,afpc_time,fit_time,K,cover_radius,active_pieces,summed_mse,max_coord_mse,std_summed_mse,avg_r2,experiment,n,m,rep,d,q,dict_time,estimated_peak_array_mib,coord_count_measured,timing_note,corr,dataset,config,center_rule,feature_mode,max_k,single_afpc_time,projected_afpc_time,actual_repeated_afpc_time,actual_projected_ratio
SC-DCF-LS,0.03521020000000008,0.0018076000000000203,0.025507100000000005,26,1.8138504983747092,26.0,0.16488842521354638,0.04693475487773876,0.2776240266795872,0.9406203974497004,rate,1000.0,5,0.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.04175200000000001,0.008277199999999985,0.007118300000000133,26,1.8138504983747092,26.0,0.1648884252135493,0.04693475487773779,0.27762402667959357,0.9406203974496989,rate,1000.0,5,0.0,,,,,,,,,,,,,,,,
kNN,0.006744899999999943,0.0,0.006744899999999943,0,,0.0,0.21515050276894776,0.0718018292460026,0.3606452607877858,0.9226409895073386,rate,1000.0,5,0.0,,,,,,,,,,,,,,,,
MO-RF,0.10705109999999984,0.0,0.10705109999999984,0,,0.0,0.17112515154589927,0.045909845649561375,0.2910534781247992,0.9377613655961214,rate,1000.0,5,0.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0009214000000001832,0.0,0.0009214000000001832,0,,0.0,1.61691161176682,0.603319087354582,2.5524323842442698,0.4522074434455667,rate,1000.0,5,0.0,,,,,,,,,,,,,,,,
PLS,0.014610599999999918,0.0,0.014610599999999918,0,,0.0,1.6474756556130552,0.6113588976986005,2.600275881563867,0.44197442646401364,rate,1000.0,5,0.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.004161400000000315,0.0006156000000001605,0.0005439000000000416,26,1.8576408338226795,26.0,0.146126237959434,0.041115861893910054,0.27108256257275665,0.9485725918117112,rate,1000.0,5,1.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.020450499999999705,0.0035323000000000437,0.0033097999999998073,26,1.8576408338226795,26.0,0.146126237959434,0.041115861893910526,0.2710825625727564,0.9485725918117112,rate,1000.0,5,1.0,,,,,,,,,,,,,,,,
kNN,0.005075799999999964,0.0,0.005075799999999964,0,,0.0,0.24218140371409497,0.07096858917169874,0.4398843451245284,0.9151985967462568,rate,1000.0,5,1.0,,,,,,,,,,,,,,,,
MO-RF,0.09065509999999999,0.0,0.09065509999999999,0,,0.0,0.18126115598384548,0.046849835484646454,0.33391830286620816,0.9365085191819862,rate,1000.0,5,1.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0010612999999999317,0.0,0.0010612999999999317,0,,0.0,1.7373875082339747,0.615971392589776,2.9701213301923697,0.4169364090822528,rate,1000.0,5,1.0,,,,,,,,,,,,,,,,
PLS,0.014129399999999848,0.0,0.014129399999999848,0,,0.0,1.765552404927843,0.6286081452713009,3.019270184479562,0.40724013068907505,rate,1000.0,5,1.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.0045932999999998,0.0006396999999997988,0.0006886000000001502,26,1.822883786366408,26.0,0.1402672039755562,0.031872567307237004,0.24824468194302393,0.9495077034987236,rate,1000.0,5,2.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.021167100000000882,0.003105700000000322,0.0035169000000006,26,1.822883786366408,26.0,0.140267203975554,0.03187256730723746,0.2482446819430192,0.9495077034987249,rate,1000.0,5,2.0,,,,,,,,,,,,,,,,
kNN,0.009750299999999879,0.0,0.009750299999999879,0,,0.0,0.22980550871203823,0.07356392553247357,0.39307962771053895,0.9219405429272932,rate,1000.0,5,2.0,,,,,,,,,,,,,,,,
MO-RF,0.1205187999999997,0.0,0.1205187999999997,0,,0.0,0.19152715440360882,0.049265963173245525,0.3350252572872552,0.9324342883512419,rate,1000.0,5,2.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0010324000000001554,0.0,0.0010324000000001554,0,,0.0,1.8550724493128177,0.6893934525560016,3.019190139547191,0.41186437227839134,rate,1000.0,5,2.0,,,,,,,,,,,,,,,,
PLS,0.01767189999999985,0.0,0.01767189999999985,0,,0.0,1.866223600575892,0.6926782796743332,3.037988306044092,0.40818724143431384,rate,1000.0,5,2.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.004276899999999806,0.0006294999999996165,0.0005740000000002965,26,1.7428195388779404,26.0,0.15913483176104548,0.050756456599844416,0.2800906964833958,0.9442259595923934,rate,1000.0,5,3.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.02220319999999809,0.0038919999999991184,0.0034332999999997504,26,1.7428195388779404,26.0,0.15913483176104393,0.05075645659984422,0.2800906964833922,0.9442259595923943,rate,1000.0,5,3.0,,,,,,,,,,,,,,,,
kNN,0.00637730000000003,0.0,0.00637730000000003,0,,0.0,0.25613473265231634,0.08443934672972186,0.44259089776385807,0.9132993549856655,rate,1000.0,5,3.0,,,,,,,,,,,,,,,,
MO-RF,0.09246249999999989,0.0,0.09246249999999989,0,,0.0,0.1804974554296153,0.056236184515015365,0.3159958340099768,0.9372178271547925,rate,1000.0,5,3.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0008509000000000988,0.0,0.0008509000000000988,0,,0.0,1.75175807055283,0.6844355946573465,2.88514055763884,0.4415642343371909,rate,1000.0,5,3.0,,,,,,,,,,,,,,,,
PLS,0.014285000000000103,0.0,0.014285000000000103,0,,0.0,1.7835592142165146,0.6913626775944706,2.937333425073829,0.43150150227773576,rate,1000.0,5,3.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.004691699999999965,0.0006226000000002507,0.0008745999999999476,26,1.9644032354381034,26.0,0.1378099011693104,0.03308266047905993,0.24331295292591507,0.9525956071391329,rate,1000.0,5,4.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.021467300000001188,0.0036568000000007927,0.003597100000000353,26,1.9644032354381034,26.0,0.13780990116930694,0.03308266047905934,0.24331295292590913,0.9525956071391342,rate,1000.0,5,4.0,,,,,,,,,,,,,,,,
kNN,0.0055050999999997074,0.0,0.0055050999999997074,0,,0.0,0.2010330370039589,0.05919580361933264,0.3444084806033673,0.9331473023804915,rate,1000.0,5,4.0,,,,,,,,,,,,,,,,
MO-RF,0.09449540000000001,0.0,0.09449540000000001,0,,0.0,0.16101768602230423,0.04178205640317535,0.2818279858082335,0.9451087903219584,rate,1000.0,5,4.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0009784999999999933,0.0,0.0009784999999999933,0,,0.0,1.857605105488722,0.7169854982987752,2.9653962932536224,0.4282388824666873,rate,1000.0,5,4.0,,,,,,,,,,,,,,,,
PLS,0.010913799999999974,0.0,0.010913799999999974,0,,0.0,1.8913411719674766,0.737133463841821,3.0181359511354535,0.4180810496909723,rate,1000.0,5,4.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.004024399999999595,0.000657899999999767,0.0004985999999997937,26,1.7996364344227096,26.0,0.14624641080456144,0.03409207334137492,0.25601780137689417,0.947943345476116,rate,1000.0,5,5.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.02260829999999947,0.004484600000000061,0.003496099999999558,26,1.7996364344227096,26.0,0.14624641080456155,0.034092073341376046,0.2560178013768942,0.947943345476116,rate,1000.0,5,5.0,,,,,,,,,,,,,,,,
kNN,0.005600099999999664,0.0,0.005600099999999664,0,,0.0,0.20867552111134477,0.058007004581394635,0.3566341311047924,0.9279682219669052,rate,1000.0,5,5.0,,,,,,,,,,,,,,,,
MO-RF,0.09486210000000028,0.0,0.09486210000000028,0,,0.0,0.17056360448626107,0.03803680341884616,0.3000935094677362,0.9390575089579614,rate,1000.0,5,5.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0008316999999999908,0.0,0.0008316999999999908,0,,0.0,1.841109730416471,0.645697355290454,2.9326818392470893,0.4141339157478282,rate,1000.0,5,5.0,,,,,,,,,,,,,,,,
PLS,0.012607400000000268,0.0,0.012607400000000268,0,,0.0,1.8578029778467986,0.6494516343038644,2.958893172452664,0.4088869190893366,rate,1000.0,5,5.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.014796099999999868,0.0021329999999997185,0.001822999999999908,41,1.523098129136133,41.0,0.12969574750550636,0.029751252552699527,0.23364871389932926,0.9532561946609579,rate,2500.0,5,0.0,,,,,,,,,,,,,,,,
Independent DCF-LS,0.07286349999999997,0.01037139999999992,0.008594099999999827,41,1.523098129136133,41.0,0.12969574750551136,0.029751252552699725,0.23364871389933303,0.9532561946609572,rate,2500.0,5,0.0,,,,,,,,,,,,,,,,
kNN,0.03167059999999999,0.0,0.03167059999999999,0,,0.0,0.15812751976109451,0.04032710666970323,0.28112682292746105,0.9436116074140312,rate,2500.0,5,0.0,,,,,,,,,,,,,,,,
MO-RF,0.3806587000000001,0.0,0.3806587000000001,0,,0.0,0.1473920464170909,0.034479519314129854,0.26506174568935426,0.9469655920779537,rate,2500.0,5,0.0,,,,,,,,,,,,,,,,
MO-Ridge,0.0021420000000000883,0.0,0.0021420000000000883,0,,0.0,1.7003707741187724,0.6187039684346984,2.7874019664891487,0.43568963146025463,rate,2500.0,5,0.0,,,,,,,,,,,,,,,,
PLS,0.022753200000000362,0.0,0.022753200000000362,0,,0.0,1.7046825947399749,0.6209245772236268,2.7939660487830005,0.43435894673738157,rate,2500.0,5,0.0,,,,,,,,,,,,,,,,
SC-DCF-LS,0.016980500000000287,0.00217450000000019,0.0027664000000000577,41,1.4552165068693357,41.0,0.12544728246141054,0.02875238429787807,0.2235654258106478,0.9552894371838491,rate,2500.0,5,1.0,,,,,,,,,,,,,,,,
